Department/Agency,Medium,Publication,catagory,status,year,Publication Web Address
Aboriginal Relations,Online,Consultation Capacity Building  - August 2010,culture_people,404,2012,"""http://www.aboriginal.alberta.ca/documents/ConsultationCapacityBuilding.pdf"""
Aboriginal Relations,Online,First Nations Consultation (August 2010),culture_people,404,2012,"""http://www.aboriginal.alberta.ca/documents/FNconsultation_FactSheet_AUG2010rev.pdf"""
Advanced Education and Technology,Online,Advanced Education and Technology 2010-13 Business Plan,education_tech,404,2012,"""http://www.advancededucation.gov.ab.ca/media/257280/201013aetbusinessplan.pdf"""
Advanced Education and Technology,Online,Advanced Education and Technology 2010-2013 Business Plan Highlights,education_tech,404,2012,"""http://www.advancededucation.gov.ab.ca/media/257283/201013aetbusinessplanhighlights.pdf"""
Advanced Education and Technology,Online,Trades in Alberta: Easy-to-Read Information (March 2012),education_tech,200,2012,"""http://alis.alberta.ca/pdf/cshop/aaet/tradesinalberta.pdf"""
Advanced Education and Technology,Online,Trades in Alberta: Teaching Notes (March 2012),education_tech,200,2012,"""http://alis.alberta.ca/pdf/cshop/aaet/tradesinalberta_TN.pdf"""
Advanced Education and Technology ,Online,2011 Facts and Figures pamphlet Background and Methodology Information (November 2011),education_tech,200,2012,"""http://www.aet.alberta.ca/media/301378/aet-facts-and-figures-background-2011.pdf"""
Advanced Education and Technology ,Online,"Alberta Graduate Outcome Survey, Class of 2007-2008: Transfer Graduates Final Report",education_tech,200,2012,"""http://aet.alberta.ca/media/282041/gos2010%28transfer%29.pdf"""
Advanced Education and Technology ,Online,Alberta Graduate Outcomes Survey Class of 2007-2008 Final Report,education_tech,200,2012,"""http://aet.alberta.ca/media/280913/gos2010%28final%29.pdf"""
Advanced Education and Technology ,Online,Alberta Research and Innovation Plan 2011,education_tech,200,2012,"""http://www.aet.alberta.ca/media/293968/arip_june%2017-final.pdf"""
Advanced Education and Technology ,Online,Apprenticeship and Industry Training Act: Designation of trades and occupations Information Package April 2011,education_tech,404,2012,"""http://www.tradesecrets.gov.ab.ca/forms_publications/forms/pdf/designation_info_package.pdf"""
Advanced Education and Technology ,Online,Facts and Figures Pamphlet (November 2011),education_tech,200,2012,"""http://www.aet.alberta.ca/media/301326/aet-facts-and-figures-2011.pdf"""
Advanced Education and Technology ,Online,"Highl ights of the Alberta Graduate Outcome Survey, Class of 2007-2008 Highlights Report",education_tech,200,2012,"""http://aet.alberta.ca/media/281305/gos2010%28highlights%29.pdf"""
Advanced Education and Technology ,Online,Research Capacity Program 2011-2012 Competition Guidelines November 2011,education_tech,404,2012,"""http://www.advancededucation.gov.ab.ca/media/290549/general%20guidelines%20-%20november%202011.pdf"""
Advanced Education and Technology ,Online,Residential Construction Site Manager Competency Profile,education_tech,404,2012,"""https://www.tradesecrets.gov.ab.ca/occupations/pdf/occupation_competency_profiles/212_competency_profile.pdf"""
Agriculture and Rural Development,Online and Print,Alberta 2010 beekeepers' survey results,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd12589"""
Agriculture and Rural Development,Online and Print,Alberta 2011 specialty crop report,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd12584"""
Agriculture and Rural Development,Online and Print,Alberta farm input prices annual overview,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd4227"""
Agriculture and Rural Development,Online and Print,Corn maze : decision making tool,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/agdex4770/$FILE/888-12.pdf"""
Agriculture and Rural Development,Online and Print,Economics of production and marketing of greenhouse crops in Alberta,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex4369/$file/821-59.pdf"""
Agriculture and Rural Development,Online and Print,Odour management plan for Alberta livestock producers,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex13838/$file/092-1.pdf"""
Alberta Council on Admissions and Transfer,Online,Alberta Council on Admissions and Transfer (ACAT) Business Plan 2011-2014,education_tech,200,2012,"""http://www.acat.gov.ab.ca/pdfs/ACAT-Council-Business-Plan-2011-14.pdf"""
Alberta Programs and Services,Online,Raising Children News - February 2012,law_order,200,2012,"""http://www.industrymailout.com/Industry/View.aspx?id=314555&p=2073"""
Alberta Programs and Services,Online,Raising Children News - January 2012,law_order,200,2012,"""http://www.industrymailout.com/Industry/View.aspx?id=319775&p=cbff"""
Alberta Programs and Services,Online,Raising Children News - March/April 2012,law_order,200,2012,"""http://www.industrymailout.com/Industry/View.aspx?id=337883&p=b8e9"""
Campus Alberta Quality Council,Online,A GUIDE FOR TEAMS CONDUCTING EVALUATIONS OF PROPOSED GRADUATE PROGRAMS (Non-Resident Alberta Institutions) (July 2011),education_tech,200,2012,"""http://www.caqc.gov.ab.ca/pdfs/Guide_for_Prog_Eval_Graduate_Non-Resident_July_2011.pdf"""
Campus Alberta Quality Council,Online,A GUIDE FOR TEAMS CONDUCTING EVALUATIONS OF PROPOSED GRADUATE PROGRAMS (Resident Alberta Institutions) (July 2011),education_tech,200,2012,"""http://www.caqc.gov.ab.ca/pdfs/Guide_for_Prog_Eval_Graduate_Resident_July_2011.pdf"""
Campus Alberta Quality Council,Online,A GUIDE FOR TEAMS CONDUCTING EVALUATIONS OF PROPOSED UNDERGRADUATE PROGRAMS (July 2011),education_tech,200,2012,"""http://www.caqc.gov.ab.ca/pdfs/Guide_for_Prog_Eval_Undergraduate_July_2011.pdf"""
Campus Alberta Quality Council,Online,A GUIDE FOR TEAMS CONDUCTING ORGANIZATIONAL EVALUATIONS (Resident Alberta Institutions) (July 2011),education_tech,200,2012,"""http://www.caqc.gov.ab.ca/pdfs/Guide_for_Org_Eval_July_2011.pdf"""
Campus Alberta Quality Council,Online,A GUIDE FOR TEAMS CONDUCTING ORGANIZATIONAL EVALUATIONS Graduate Programs (Resident Alberta Institutions) (May 2011),education_tech,200,2012,"""http://www.caqc.gov.ab.ca/pdfs/Guide_for_Org_Eval_Graduate_July_2011.pdf"""
Campus Alberta Quality Council,Online,"Campus Alberta Quality Council HANDBOOK: Quality Assessment and Quality Assurance (First Edition, with revisions to December 2011)",education_tech,404,2012,"""http://caqc.gov.ab.ca/pdfs/Handbook_December_2011.pdf"""
Campus Alberta Quality Council,Online,HOSTING AN INSTITUTIONAL SITE VISIT: A Guide for Institutions Undergoing a Visit by a Campus Alberta Quality Council Evaluation Team (September 2011),education_tech,200,2012,"""http://www.caqc.gov.ab.ca/pdfs/Hosting_a_Site_Visit_Sept_2011.pdf"""
Education,Online,Action on Research and Innovation: The Future of Charter Schools in Alberta (January 2011),education_tech,200,2012,"""http://education.alberta.ca/media/6389671/action%20on%20research%20and%20innovation%20revised%20jan%2025%2011%20.pdf"""
Education,Online,AISI Conference 2011 Engaging Minds: It’s All About the Learning Conference Report (2011),education_tech,200,2012,"""http://education.alberta.ca/media/6465243/aisi_conference_2011_report_2011.pdf"""
Education,Online,Approche de l’Alberta en matière de pratiques collaboratives axées sur les principes de l’encadrement global : conversations coopératives – guide de l’animateur,education_tech,200,2012,"""http://ideas.education.alberta.ca/media/23578/pratiques%20collaboratives_conversations%20coop%C3%A9ratives%20(2).pdf"""
Education,Online,Background Information Action on Research and Innovation: The Future of Charter Schools in Alberta (January 2011),education_tech,200,2012,"""http://education.alberta.ca/media/6389667/background%20information%20revised%20jan%207%2011.pdf"""
Education,Online,Background Paper: Professional Learning for Teachers in Alberta’s K-12 Education System (September 2010),education_tech,200,2012,"""http://ideas.education.alberta.ca/media/3033/plbackgroundpaperfin94146.pdf"""
Education,Online,CTS BRIDGE TO TEACHER CERTIFICATION 2011,education_tech,200,2012,"""http://www.education.alberta.ca/media/6637900/ctsbridgingmanual.pdf"""
Education,Online,CTS Credentialed Pathways (February 2011),education_tech,200,2012,"""http://education.alberta.ca/media/1238954/pathways.pdf"""
Education,Online,CTS Specialized Skill Pathways (January 2011),education_tech,200,2012,"""http://education.alberta.ca/media/2631205/pathways_specialized.pdf"""
Education,Print,Education 2012-15 Business Plan,education_tech,200,2012,"""http://www.finance.alberta.ca/publications/budget/budget2012/education.pdf"""
Education,Online,Éducation PLAN D'ACTIVITÉS 2012-2015,education_tech,200,2012,"""http://www.education.alberta.ca/media/6661235/plan12.pdf"""
Education,Online,Éducation Plan d'activités 2012-2015,education_tech,200,2012,"""http://education.alberta.ca/media/6661235/plan12.pdf"""
